NAME_2,max_flood
Bacacay,2.2647571563720703
Bato Lake,0.0
Camalig,0.0
Daraga,0.0
Guinobatan,0.0
Jovellar,0.400812029838562
Legazpi City,2.6196470260620117
Libon,2.5646934509277344
Ligao City,2.2803866806522
Malilipot,2.0785961151123047
Malinao,2.0244481563568115
Manito,2.443023801468655
Oas,2.323625326156616
Pio Duran,2.3312540786573663
Polangui,0.0
Rapu-Rapu,2.144086006745638
Santo Domingo,2.2594268321990967
Tabaco City,2.078996181488037
Tiwi,1.9633794098687967
